where	method	server_uses	files
team-access.js:116	requireBuddyCapability	6	buddies/direct-reports.ts:2 buddies/operations.ts:4
team-access.js:127	createTeamBuddy	2	buddies/direct-reports.ts:1 buddies/operations.ts:1
team-access.js:155	setTeamRelationship	2	buddies/direct-reports.ts:1 buddies/operations.ts:1
team-access.js:186	getTeamProfile	2	buddies/operations.ts:1 buddies/owner-resources.ts:1
team-access.js:193	updateTeamProfile	2	buddies/operations.ts:1 buddies/owner-resources.ts:1
team-access.js:219	readTeamDocument	1	buddies/operations.ts:1
team-access.js:231	updateTeamDocument	2	buddies/operations.ts:2
team-access.js:274	getMessageExecution	1	buddies/team-access.ts:1
team-configuration.js:333	prepareTeamConfiguration	2	buddies/owner-team-configuration.ts:2
team-configuration.js:899	teamConfigurationReadiness	0	
team-configuration.js:1035	applyTeamConfiguration	2	buddies/owner-team-configuration.ts:2
team-configuration.js:1245	refreshTeamConfigurationResult	0	
team-configuration.js:1287	getTeamConfiguration	2	buddies/owner-team-configuration.ts:2
knowledge.js:75	checkKnowledgeDocument	1	buddies/knowledge.ts:1
knowledge.js:76	readKnowledgeDocument	6	buddies/integration.ts:1 buddies/knowledge.ts:3 buddies/memory-review.ts:1 buddies/routes.ts:1
knowledge.js:101	replaceKnowledgeDocument	3	buddies/knowledge.ts:2 buddies/memory-review.ts:1
knowledge.js:115	listKnowledgeDocuments	3	buddies/integration.ts:1 buddies/knowledge.ts:1 buddies/routes.ts:1
knowledge.js:132	listKnowledgeScopes	1	buddies/routes.ts:1
knowledge.js:145	knowledgeAudienceKey	1	buddies/integration.ts:1
mailbox.js:21	prepareMailEffect	0	
mailbox.js:31	getMailEffect	0	
mailbox.js:32	authorizeMailEffect	0	
mailbox.js:40	claimMailEffect	0	
mailbox.js:52	settleMailEffect	0	
mailbox.js:62	recordInboundMail	0	
lists.js:209	createList	2	buddies/operations.ts:1 buddies/routes.ts:1
lists.js:233	getList	7	buddies/channel-responder.ts:1 buddies/channel-routes.ts:2 buddies/operations.ts:3 buddies/routes.ts:1
lists.js:238	listLists	3	buddies/operations.ts:1 buddies/owner-channel-reads.ts:1 buddies/routes.ts:1
lists.js:247	createPost	4	buddies/channel-responder.ts:2 buddies/channel-routes.ts:1 buddies/operations.ts:1
lists.js:299	getPost	7	buddies/channel-responder.ts:3 buddies/channel-routes.ts:1 buddies/operations.ts:1 buddies/routes.ts:2
lists.js:308	listPosts	3	buddies/channel-pages.ts:1 buddies/channel-responder.ts:1 buddies/owner-channel-reads.ts:1
lists.js:332	listThread	1	buddies/owner-channel-reads.ts:1
lists.js:349	searchPosts	1	buddies/operations.ts:1
lists.js:390	pagePosts	5	buddies/channel-pages.ts:3 buddies/channel-responder.ts:2
lists.js:414	newestListPost	2	buddies/operations.ts:1 buddies/owner-channel-reads.ts:1
lists.js:420	listUnread	1	buddies/operations.ts:1
lists.js:434	markListRead	1	buddies/operations.ts:1
